Proviences,City,TAG,Code
اصفهان,ابریشم,ABR,930100
اصفهان,ابوزیدآباد,ABO,930200
اصفهان,اردستان,ARD,930300
اصفهان,اژیه,AZH,930400
اصفهان,اصفهان,ESF,930500
اصفهان,افوس,AFO,930600
اصفهان,انارک,ANA,930700
اصفهان,ایمانشهر,IMA,930800
اصفهان,آران وبیدگل,ARA,930900
اصفهان,بادرود,BAD,931000
اصفهان,باغ بهادران,BAG,931100
اصفهان,بافران,BAF,931200
اصفهان,برزک,BER,931300
اصفهان,برف انبار,BAR,931400
اصفهان,بوئین ومیاندشت,BON,931500
اصفهان,بهاران شهر,BEH,931600
اصفهان,بهارستان,BAH,931700
اصفهان,پیربکران,PIR,931800
اصفهان,تودشک,TOD,931900
اصفهان,تیران,TIR,932000
