Provience,City,Tag,Code
گیلان,احمدسرگوراب,ASG,960100
گیلان,اسالم,SLM,960200
گیلان,اطاقور,ATG,960300
گیلان,املش,AML,960400
گیلان,آستارا,STR,960500
گیلان,آستانه اشرفیه,ASH,960600
گیلان,بازارجمعه,BZJ,960700
گیلان,بره سر,BSR,960800
گیلان,بندرانزلی,BAN,960900
گیلان,پره سر,PSR,961000
گیلان,توتکابن,TNK,961100
گیلان,جیرنده,JRN,961200
گیلان,چابکسر,CBK,961300
گیلان,چاف وچمخاله,CHM,961400
گیلان,چوبر,CHB,961500
گیلان,حویق,HVG,961600
گیلان,خشکبیجار,KSB,961600
گیلان,خمام,KHM,961700
گیلان,دیلمان,DLM,961800
گیلان,رانکوه,RNK,961900
